Team,Player,Position
Arsenal FC,Rob Holding,Centre-Back
Arsenal FC,Per Mertesacker,Centre-Back
Arsenal FC,Krystian Bielik,Centre-Back
Arsenal FC,Nacho Monreal,Left-Back
Arsenal FC,Kieran Gibbs,Left-Back
Arsenal FC,Marc Bola,Left-Back
Arsenal FC,Héctor Bellerín,Right-Back
Arsenal FC,Carl Jenkinson,Right-Back
Arsenal FC,Mathieu Debuchy,Right-Back
Arsenal FC,Ainsley Maitland-Niles,Right-Back
Arsenal FC,Granit Xhaka,Defensive Midfield
Arsenal FC,Francis Coquelin,Defensive Midfield
Arsenal FC,Mohamed Elneny,Defensive Midfield
Arsenal FC,Gedion Zelalem,Defensive Midfield
Arsenal FC,Ben Sheaf,Defensive Midfield
Arsenal FC,Aaron Ramsey,Central Midfield
Arsenal FC,Alex Oxlade-Chamberlain,Central Midfield
Arsenal FC,Jack Wilshere,Central Midfield
Arsenal FC,Santi Cazorla,Central Midfield
Arsenal FC,Josh Dasilva,Central Midfield
Arsenal FC,Mesut Özil,Attacking Midfield
Arsenal FC,Jeff Reine-Adélaïde,Attacking Midfield
Arsenal FC,Alex Iwobi,Attacking Midfield
Arsenal FC,Chris Willock,Left Winger
Arsenal FC,Stephy Mavididi,Left Winger
Arsenal FC,Theo Walcott,Right Winger
Arsenal FC,Joel Campbell,Right Winger
Arsenal FC,Alexis Sánchez,Centre-Forward
Arsenal FC,Olivier Giroud,Centre-Forward
Arsenal FC,Lucas Pérez,Centre-Forward
Arsenal FC,Danny Welbeck,Centre-Forward
Arsenal FC,Chuba Akpom,Centre-Forward
Arsenal FC,Yaya Sanogo,Centre-Forward
Manchester United,David de Gea,Goalkeeper
Manchester United,Sergio Romero,Goalkeeper
Manchester United,Sam Johnstone,Goalkeeper
Manchester United,Joel Pereira,Goalkeeper
Manchester United,Dean Henderson,Goalkeeper
Manchester United,Kieran O'Hara,Goalkeeper
Manchester United,Eric Bailly,Centre-Back
Manchester United,Daley Blind,Centre-Back
Manchester United,Marcos Rojo,Centre-Back
Manchester United,Chris Smalling,Centre-Back
Manchester United,Luke Shaw,Left-Back
Southampton FC,Fraser Forster,Goalkeeper
Southampton FC,Alex McCarthy,Goalkeeper
Southampton FC,Paulo Gazzaniga,Goalkeeper
Southampton FC,Mouez Hassen,Goalkeeper
Southampton FC,Stuart Taylor,Goalkeeper
Southampton FC,Harry Lewis,Goalkeeper
Southampton FC,Virgil van Dijk,Centre-Back
Southampton FC,José Fonte,Centre-Back
Southampton FC,Maya Yoshida,Centre-Back
Southampton FC,Martín Cáceres,Centre-Back
Southampton FC,Jack Stephens,Centre-Back
Southampton FC,Florin Gardoș,Centre-Back
Southampton FC,Cuco Martina,Centre-Back
Southampton FC,Ryan Bertrand,Left-Back
Southampton FC,Matt Targett,Left-Back
Southampton FC,Sam McQueen,Left-Back
Southampton FC,Cédric Soares,Right-Back
Southampton FC,Jérémy Pied,Right-Back
Southampton FC,Jordy Clasie,Defensive Midfield
Southampton FC,Pierre-Emile Højbjerg,Defensive Midfield
Southampton FC,Oriol Romeu,Defensive Midfield
Southampton FC,James Ward-Prowse,Central Midfield
Southampton FC,Steven Davis,Central Midfield
Southampton FC,Harrison Reed,Central Midfield
Southampton FC,Jake Hesketh,Attacking Midfield
Southampton FC,Sofiane Boufal,Left Winger
Southampton FC,Dušan Tadić,Right Winger
