Team,Player,Position
Arsenal FC,Francis Coquelin,Midfielder
Arsenal FC,Mohamed Elneny,Midfielder
Arsenal FC,Gedion Zelalem,Midfielder
Arsenal FC,Ben Sheaf,Midfielder
Arsenal FC,Aaron Ramsey,Midfielder
Arsenal FC,Alex Oxlade-Chamberlain,Midfielder
Arsenal FC,Jack Wilshere,Midfielder
Arsenal FC,Santi Cazorla,Midfielder
Arsenal FC,Josh Dasilva,Midfielder
Arsenal FC,Mesut Özil,Midfielder
Arsenal FC,Jeff Reine-Adélaïde,Midfielder
Arsenal FC,Alex Iwobi,Midfielder
Arsenal FC,Chris Willock,Midfielder
Arsenal FC,Stephy Mavididi,Midfielder
Arsenal FC,Theo Walcott,Midfielder
Arsenal FC,Joel Campbell,Midfielder
Arsenal FC,Alexis Sánchez,Forward
Arsenal FC,Olivier Giroud,Forward
Arsenal FC,Lucas Pérez,Forward
Arsenal FC,Danny Welbeck,Forward
Arsenal FC,Chuba Akpom,Forward
Arsenal FC,Yaya Sanogo,Forward
Manchester United,David de Gea,Goalkeeper
Manchester United,Sergio Romero,Goalkeeper
Manchester United,Sam Johnstone,Goalkeeper
Manchester United,Joel Pereira,Goalkeeper
Manchester United,Dean Henderson,Goalkeeper
Manchester United,Kieran O'Hara,Goalkeeper
Manchester United,Eric Bailly,Defender
Manchester United,Daley Blind,Defender
Manchester United,Marcos Rojo,Defender
Manchester United,Chris Smalling,Defender
Manchester United,Luke Shaw,Defender
Southampton FC,Fraser Forster,Goalkeeper
Southampton FC,Alex McCarthy,Goalkeeper
Southampton FC,Paulo Gazzaniga,Goalkeeper
Southampton FC,Mouez Hassen,Goalkeeper
Southampton FC,Stuart Taylor,Goalkeeper
Southampton FC,Harry Lewis,Goalkeeper
Southampton FC,Virgil van Dijk,Defender
Southampton FC,José Fonte,Defender
Southampton FC,Maya Yoshida,Defender
Southampton FC,Martín Cáceres,Defender
Southampton FC,Jack Stephens,Defender
Southampton FC,Florin Gardoș,Defender
Southampton FC,Cuco Martina,Defender
Southampton FC,Ryan Bertrand,Defender
Southampton FC,Matt Targett,Defender
Southampton FC,Sam McQueen,Defender
Southampton FC,Cédric Soares,Defender
Southampton FC,Jérémy Pied,Defender
Southampton FC,Jordy Clasie,Midfielder
Southampton FC,Pierre-Emile Højbjerg,Midfielder
Southampton FC,Oriol Romeu,Midfielder
Southampton FC,James Ward-Prowse,Midfielder
Southampton FC,Steven Davis,Midfielder
Southampton FC,Harrison Reed,Midfielder
Southampton FC,Jake Hesketh,Midfielder
Southampton FC,Sofiane Boufal,Midfielder
Southampton FC,Dušan Tadić,Midfielder
Southampton FC,Nathan Redmond,Midfielder
Southampton FC,Josh Sims,Midfielder
Southampton FC,Lloyd Isgrove,Midfielder
Southampton FC,Olufela Olomola,Midfielder
Southampton FC,Manolo Gabbiadini,Forward
Southampton FC,Charlie Austin,Forward
Southampton FC,Jay Rodríguez,Forward
Southampton FC,Shane Long,Forward
Southampton FC,Sam Gallagher,Forward
Leicester City,Kasper Schmeichel,Goalkeeper
Leicester City,Ron-Robert Zieler,Goalkeeper
Leicester City,Ben Hamer,Goalkeeper
Leicester City,Robert Huth,Defender
Leicester City,Daniel Amartey,Defender
Leicester City,Luis Hernández,Defender
Leicester City,Wes Morgan,Defender
Leicester City,Molla Wagué,Defender
Leicester City,Yohan Benalouane,Defender
Leicester City,Marcin Wasilewski,Defender
Leicester City,Elliott Moore,Defender
Leicester City,Christian Fuchs,Defender
Leicester City,Ben Chilwell,Defender
Leicester City,Danny Simpson,Defender
Leicester City,Wilfred Ndidi,Midfielder
Leicester City,Nampalys Mendy,Midfielder
Leicester City,Danny Drinkwater,Midfielder
Leicester City,Andy King,Midfielder
Leicester City,Matty James,Midfielder
Leicester City,Marc Albrighton,Midfielder
Leicester City,Jeffrey Schlupp,Midfielder
Leicester City,Bartosz Kapustka,Midfielder
Leicester City,Tom Lawrence,Midfielder
Leicester City,Ahmed Musa,Midfielder
Leicester City,Demarai Gray,Midfielder
Leicester City,Harvey Barnes,Midfielder
Leicester City,Riyad Mahrez,Midfielder
Leicester City,Islam Slimani,Forward
Leicester City,Jamie Vardy,Forward
Leicester City,Shinji Okazaki,Forward
Leicester City,Leonardo Ulloa,Forward
Stoke City,Jack Butland,Goalkeeper
Stoke City,Lee Grant,Goalkeeper
Stoke City,Jakob Haugaard,Goalkeeper
