team,player,event_type,reason,start_date,end_date,days,url
Everton FC,Muhamed Besic,injury,Cruciate ligament injury,2016-08-03,2017-03-18,228 days,https://www.transfermarkt.co.uk/muhamed-besic/profil/spieler/93905
Everton FC,Yannick Bolasie,injury,Cruciate ligament tear,2016-12-05,2017-12-10,371 days,https://www.transfermarkt.co.uk/yannick-bolasie/profil/spieler/75471
Everton FC,Shani Tarashaj,injury,Meniscus tear,2017-05-09,2017-10-01,146 days,https://www.transfermarkt.co.uk/shani-tarashaj/profil/spieler/184381
West Ham United,Angelo Ogbonna,injury,Knee surgery,2017-01-22,2017-08-10,201 days,https://www.transfermarkt.co.uk/angelo-ogbonna/profil/spieler/48002
West Ham United,Doneil Henry,injury,Torn lateral knee ligament,2016-11-02,2017-12-31,425 days,https://www.transfermarkt.co.uk/doneil-henry/profil/spieler/157907
West Ham United,Lewis Page,injury,Hamstring injury,2017-03-22,2018-03-12,356 days,https://www.transfermarkt.co.uk/lewis-page/profil/spieler/242652
West Ham United,Álvaro Arbeloa,injury,Leg injury,2016-12-03,2017-07-01,211 days,https://www.transfermarkt.co.uk/alvaro-arbeloa/profil/spieler/28260
West Ham United,Pedro Obiang,injury,Ankle injury,2017-03-18,2017-08-10,146 days,https://www.transfermarkt.co.uk/pedro-obiang/profil/spieler/101213
West Ham United,Gökhan Töre,injury,Knee surgery,2016-12-12,2017-05-22,162 days,https://www.transfermarkt.co.uk/gokhan-tore/profil/spieler/82130
West Ham United,Michail Antonio,injury,Hamstring injury,2017-04-08,2017-08-10,125 days,https://www.transfermarkt.co.uk/michail-antonio/profil/spieler/104124
West Ham United,Andy Carroll,injury,Groin injury,2017-04-15,2017-09-11,150 days,https://www.transfermarkt.co.uk/andy-carroll/profil/spieler/48066
West Ham United,Andy Carroll,injury,Knee injury,2016-08-18,2016-12-02,107 days,https://www.transfermarkt.co.uk/andy-carroll/profil/spieler/48066
West Ham United,Diafra Sakho,injury,Back injury,2017-04-28,2017-08-10,105 days,https://www.transfermarkt.co.uk/diafra-sakho/profil/spieler/120610
West Ham United,Diafra Sakho,injury,Back injury,2016-07-05,2016-11-05,124 days,https://www.transfermarkt.co.uk/diafra-sakho/profil/spieler/120610
Southampton FC,Alex McCarthy,injury,Hamstring injury,2016-10-26,2017-08-13,292 days,https://www.transfermarkt.co.uk/alex-mccarthy/profil/spieler/95976
Southampton FC,Virgil van Dijk,injury,Ankle injury,2017-01-26,2017-09-14,232 days,https://www.transfermarkt.co.uk/virgil-van-dijk/profil/spieler/139208
Southampton FC,Martín Cáceres,injury,Achilles tendon rupture,2016-02-01,2016-10-03,246 days,https://www.transfermarkt.co.uk/martin-caceres/profil/spieler/54935
Southampton FC,Matt Targett,injury,Hamstring injury,2016-10-16,2017-05-04,201 days,https://www.transfermarkt.co.uk/matt-targett/profil/spieler/250478
Southampton FC,Jérémy Pied,injury,Knee surgery,2016-08-24,2017-04-04,224 days,https://www.transfermarkt.co.uk/jeremy-pied/profil/spieler/60583
Southampton FC,Jake Hesketh,injury,Ankle injury,2016-10-14,2017-02-19,129 days,https://www.transfermarkt.co.uk/jake-hesketh/profil/spieler/315185
Southampton FC,Charlie Austin,injury,Shoulder injury,2016-12-08,2017-04-30,144 days,https://www.transfermarkt.co.uk/charlie-austin/profil/spieler/129627
Leicester City,Ben Hamer,injury,Head injury,2017-01-10,2017-06-30,172 days,https://www.transfermarkt.co.uk/ben-hamer/profil/spieler/67283
Leicester City,Robert Huth,suspension,Suspension through sports court,2016-05-05,2016-08-14,102 days,https://www.transfermarkt.co.uk/robert-huth/profil/spieler/2998
Leicester City,Wes Morgan,injury,Back problems,2017-03-14,2017-06-30,109 days,https://www.transfermarkt.co.uk/wes-morgan/profil/spieler/10003
Leicester City,Molla Wagué,injury,Shoulder injury,2017-02-18,2017-07-01,134 days,https://www.transfermarkt.co.uk/molla-wague/profil/spieler/129893
Leicester City,Molla Wagué,injury,Shoulder injury,2016-05-08,2016-08-31,116 days,https://www.transfermarkt.co.uk/molla-wague/profil/spieler/129893
Leicester City,Yohan Benalouane,injury,Knock,2016-01-25,2016-08-22,211 days,https://www.transfermarkt.co.uk/yohan-benalouane/profil/spieler/50477
Leicester City,Nampalys Mendy,injury,Ankle injury,2017-03-09,2017-08-17,162 days,https://www.transfermarkt.co.uk/nampalys-mendy/profil/spieler/111051
Leicester City,Nampalys Mendy,injury,Ankle injury,2016-08-20,2016-12-03,106 days,https://www.transfermarkt.co.uk/nampalys-mendy/profil/spieler/111051
Leicester City,Matty James,injury,Cruciate ligament tear,2015-05-09,2016-08-14,464 days,https://www.transfermarkt.co.uk/matty-james/profil/spieler/73522
Stoke City,Jack Butland,injury,Dislocation fracture of the ankle joint,2016-03-28,2017-04-01,370 days,https://www.transfermarkt.co.uk/jack-butland/profil/spieler/128899
Stoke City,Geoff Cameron,injury,Knee injury,2016-10-22,2017-02-25,127 days,https://www.transfermarkt.co.uk/geoff-cameron/profil/spieler/31642
Stoke City,Ibrahim Afellay,injury,Knee surgery,2017-04-05,2017-09-22,171 days,https://www.transfermarkt.co.uk/ibrahim-afellay/profil/spieler/15760
Stoke City,Ibrahim Afellay,injury,Knee injury,2016-04-22,2016-12-12,235 days,https://www.transfermarkt.co.uk/ibrahim-afellay/profil/spieler/15760
Stoke City,Stephen Ireland,injury,Broken leg,2016-05-09,2017-12-31,602 days,https://www.transfermarkt.co.uk/stephen-ireland/profil/spieler/34838
Stoke City,Saido Berahino,injury,Fitness,2016-10-12,2017-01-20,101 days,https://www.transfermarkt.co.uk/saido-berahino/profil/spieler/128897
Hull City,Allan McGregor,injury,Back injury,2016-05-13,2017-01-05,238 days,https://www.transfermarkt.co.uk/allan-mcgregor/profil/spieler/9422
Hull City,Alex Bruce,injury,Achilles tendon surgery,2016-07-11,2017-02-01,206 days,https://www.transfermarkt.co.uk/alex-bruce/profil/spieler/37957
Hull City,Omar Elabdellaoui,injury,Ankle injury,2016-05-04,2016-09-04,124 days,https://www.transfermarkt.co.uk/omar-elabdellaoui/profil/spieler/121404
Hull City,Moses Odubajo,injury,Knee injury,2016-07-15,2018-09-21,799 days,https://www.transfermarkt.co.uk/moses-odubajo/profil/spieler/163738
Hull City,Ryan Mason,injury,Skull fracture,2017-01-22,2018-02-13,388 days,https://www.transfermarkt.co.uk/ryan-mason/profil/spieler/61834
Hull City,Dieumerci Mbokani,injury,Hamstring injury,2017-02-27,2017-06-29,123 days,https://www.transfermarkt.co.uk/dieumerci-mbokani/profil/spieler/44624
Hull City,Will Keane,injury,Cruciate ligament injury,2016-11-06,2018-01-19,440 days,https://www.transfermarkt.co.uk/will-keane/profil/spieler/118535
Hull City,Will Keane,injury,Groin injury,2016-02-22,2016-09-09,201 days,https://www.transfermarkt.co.uk/will-keane/profil/spieler/118535
Hull City,Greg Luer,injury,Knee injury,2016-08-23,2017-08-24,367 days,https://www.transfermarkt.co.uk/greg-luer/profil/spieler/356195
Sunderland AFC,Paddy McNair,injury,Cruciate ligament injury,2016-11-19,2017-11-09,356 days,https://www.transfermarkt.co.uk/paddy-mcnair/profil/spieler/167268
Sunderland AFC,Lee Cattermole,injury,Hip injury,2016-11-14,2017-04-01,139 days,https://www.transfermarkt.co.uk/lee-cattermole/profil/spieler/37363
Sunderland AFC,Jan Kirchhoff,injury,Tear of the lateral meniscus,2016-12-15,2017-06-01,169 days,https://www.transfermarkt.co.uk/jan-kirchhoff/profil/spieler/49734
Sunderland AFC,Sebastian Larsson,injury,Inner ligament injury,2016-08-11,2016-11-24,106 days,https://www.transfermarkt.co.uk/sebastian-larsson/profil/spieler/31720
Sunderland AFC,Fabio Borini,injury,Groin injury,2016-08-27,2016-12-09,105 days,https://www.transfermarkt.co.uk/fabio-borini/profil/spieler/96754
Sunderland AFC,Duncan Watmore,injury,Knee injury,2016-12-03,2017-09-15,287 days,https://www.transfermarkt.co.uk/duncan-watmore/profil/spieler/248045
Burnley FC,Kevin Long,injury,Knee injury,2017-01-19,2017-06-01,134 days,https://www.transfermarkt.co.uk/kevin-long/profil/spieler/111114
Burnley FC,Dean Marney,injury,Cruciate ligament tear,2017-01-22,2017-12-25,338 days,https://www.transfermarkt.co.uk/dean-marney/profil/spieler/4055
Burnley FC,Joey Barton,suspension,Suspension through sports court,2017-04-26,2018-05-31,401 days,https://www.transfermarkt.co.uk/joey-barton/profil/spieler/3292
Crystal Palace,Steve Mandanda,injury,Knee surgery,2016-11-13,2017-04-15,154 days,https://www.transfermarkt.co.uk/steve-mandanda/profil/spieler/23951
Crystal Palace,Mamadou Sakho,injury,Ligament injury,2017-04-26,2017-09-18,146 days,https://www.transfermarkt.co.uk/mamadou-sakho/profil/spieler/47713
Crystal Palace,Pape Souaré,injury,traffic accident,2016-09-11,2017-08-25,349 days,https://www.transfermarkt.co.uk/pape-souare/profil/spieler/125868
Crystal Palace,Jonny Williams,injury,Shoulder injury,2016-12-21,2017-04-02,103 days,https://www.transfermarkt.co.uk/jonny-williams/profil/spieler/170322
Crystal Palace,Yannick Bolasie,injury,Cruciate ligament tear,2016-12-05,2017-12-10,371 days,https://www.transfermarkt.co.uk/yannick-bolasie/profil/spieler/75471
Crystal Palace,Connor Wickham,injury,Cruciate ligament tear,2016-11-27,2018-03-12,471 days,https://www.transfermarkt.co.uk/connor-wickham/profil/spieler/95435
